bag,flipper,gait,run,axis,samples,raw_min,raw_max,clean_min,clean_max,clean_p0_5,clean_p99_5,average_interval_source,average_duration_s,clean_abs_mean,clean_abs_impulse_ns,clean_abs_p99_5,clean_abs_max,max_to_p99_5_ratio,abs_peak_time_s
control_vansh_rollAmpAndFrequency_1_control.bag,control,rollAmpAndFrequency,1,Fx,85800,-8.158374786376953,6.716876983642578,-1.4140243530273438,0.47450804710388184,-1.336456060409546,0.47450804710388184,servo_activity,8.08585500717163,0.350470491497673,2.833853578542362,1.336456060409546,1.4140243530273438,1.0580402864827652,1.2657256126403809
control_vansh_rollAmpAndFrequency_1_control.bag,control,rollAmpAndFrequency,1,Fy,85800,-5.863610744476318,5.07314395904541,-1.4850056171417236,2.833024740219116,-1.4486393928527832,2.811519145965576,servo_activity,8.08585500717163,1.2225330884540935,9.88522529470953,2.811519145965576,2.833024740219116,1.0076491011218613,4.616009712219238
control_vansh_rollAmpAndFrequency_1_control.bag,control,rollAmpAndFrequency,1,Fz,85800,-6.811148643493652,11.543766975402832,-3.4459588527679443,0.23510414361953735,-3.4302830696105957,0.21300852298736572,servo_activity,8.08585500717163,0.7259308425353439,5.8697715379747315,3.4302830696105957,3.4459588527679443,1.0045698220348702,0.21744465827941895
control_vansh_rollAmpAndFrequency_1_control.bag,control,rollAmpAndFrequency,1,Net,85800,0.017642896622419357,11.853377342224121,0.048602217744313614,4.056689816376105,0.0672043357034115,4.0396246014241735,servo_activity,8.08585500717163,1.58072376883341,12.78150320117684,4.0396246014241735,4.056689816376105,1.0042244556451891,0.3461945056915283
control_vansh_rollAmpAndFrequency_2_control.bag,control,rollAmpAndFrequency,2,Fx,88020,-7.2401862144470215,4.261672496795654,-2.0871517658233643,0.47097474336624146,-2.0458730101585387,0.45344990491867065,servo_activity,8.349081993103027,0.39552517084151473,3.302272081691889,2.0458730101585383,2.0871517658233643,1.0201765972080679,0.7692968845367432
control_vansh_rollAmpAndFrequency_2_control.bag,control,rollAmpAndFrequency,2,Fy,88020,-6.93254280090332,5.611161708831787,-2.5063698291778564,2.642279863357544,-2.4824178218841553,2.6000767183303832,servo_activity,8.349081993103027,1.212550603327064,10.123684407964202,2.6000767183303832,2.642279863357544,1.0162314999129183,4.343395471572876
control_vansh_rollAmpAndFrequency_2_control.bag,control,rollAmpAndFrequency,2,Fz,88020,-5.627877235412598,8.947423934936523,-2.813202142715454,0.39385053515434265,-2.79453444480896,0.39385053515434265,servo_activity,8.349081993103027,1.0184965912119095,8.503511549724168,2.79453444480896,2.813202142715454,1.0066800743648627,2.928715944290161
control_vansh_rollAmpAndFrequency_2_control.bag,control,rollAmpAndFrequency,2,Net,88020,0.002534331288188696,9.055291175842285,0.01726350948797581,3.688634728902993,0.09476669283586689,3.6619272561413965,servo_activity,8.349081993103027,1.7455185451822104,14.573477454208186,3.6619272561413965,3.688634728902993,1.007293283261377,4.3176422119140625
control_vansh_rollAmpAndFrequency_3_control.bag,control,rollAmpAndFrequency,3,Fx,86600,-4.5480804443359375,2.251293420791626,-1.506464958190918,0.5819896459579468,-1.2751901149749756,0.5819896459579468,servo_activity,8.241660356521606,0.44134771703565023,3.637437982934034,1.2751901149749756,1.506464958190918,1.1813649906002297,1.6661827564239502
control_vansh_rollAmpAndFrequency_3_control.bag,control,rollAmpAndFrequency,3,Fy,86600,-5.64166784286499,6.70522928237915,-1.712383508682251,2.628450870513916,-1.6117477416992188,2.5744640827178955,servo_activity,8.241660356521606,1.3853826181680884,11.417853002770045,2.5744640827178955,2.628450870513916,1.0209701071995636,2.1975250244140625
control_vansh_rollAmpAndFrequency_3_control.bag,control,rollAmpAndFrequency,3,Fz,86600,-6.895253658294678,7.648423194885254,-2.5469045639038086,0.45268678665161133,-2.5207643508911133,0.4345397755503671,servo_activity,8.241660356521606,1.1309882111488945,9.321220703519131,2.5207643508911133,2.5469045639038086,1.010369955050917,5.236368894577026
control_vansh_rollAmpAndFrequency_3_control.bag,control,rollAmpAndFrequency,3,Net,86600,0.027618475258350372,8.944010734558105,0.6071249662402153,3.5775995122610786,0.6661366230695256,3.543615283876656,servo_activity,8.241660356521606,1.9624525802056212,16.173867631834206,3.543615283876656,3.5775995122610786,1.0095902702923338,2.2315094470977783
control_vansh_rollAmpAndFrequency_4_control.bag,control,rollAmpAndFrequency,4,Fx,86620,-4.384042263031006,2.8565127849578857,-3.4144489765167236,0.5663183331489563,-1.696837809085846,0.5368790030479431,servo_activity,8.176583528518677,0.5454714234239241,4.460092656045695,1.6968378090858454,3.4144489765167236,2.0122423947850527,0.0
control_vansh_rollAmpAndFrequency_4_control.bag,control,rollAmpAndFrequency,4,Fy,86620,-5.886904716491699,6.43300724029541,-2.5728299617767334,2.952327251434326,-1.7014902830123901,2.8750412464141846,servo_activity,8.176583528518677,1.6625709221300082,13.594150016882333,2.8750412464141846,2.952327251434326,1.0268817030421857,1.412292718887329
control_vansh_rollAmpAndFrequency_4_control.bag,control,rollAmpAndFrequency,4,Fz,86620,-5.8371710777282715,5.302600383758545,-3.2491676807403564,1.2883778810501099,-3.1977593898773193,0.23229235410690308,servo_activity,8.176583528518677,1.2860583943595003,10.515563884033067,3.1977593898773193,3.2491676807403564,1.0160763474030512,0.3865966796875
control_vansh_rollAmpAndFrequency_4_control.bag,control,rollAmpAndFrequency,4,Net,86620,0.03620639070868492,7.7219977378845215,0.8953753014170803,4.465180107210832,0.9918412181712746,4.092068138000326,servo_activity,8.176583528518677,2.3189095070606482,18.96075727955746,4.092068138000326,4.465180107210832,1.091179314866647,0.0
control_vansh_rollAmpAndFrequency_5_control.bag,control,rollAmpAndFrequency,5,Fx,85480,-3.8893496990203857,1.9460972547531128,-2.2687346935272217,0.5627195239067078,-2.2645373344421387,0.4676047252118567,servo_activity,8.18578577041626,0.4895557137353063,4.007398195320446,2.2645373344421387,2.2687346935272217,1.0018535172819825,0.8138947486877441
control_vansh_rollAmpAndFrequency_5_control.bag,control,rollAmpAndFrequency,5,Fy,85480,-5.779799461364746,5.532461166381836,-2.402775764465332,3.0955264568328857,-2.389829635620117,2.915870428085327,servo_activity,8.18578577041626,1.53873298978272,12.595738612233458,2.915870428085327,3.0955264568328857,1.0616131728684282,0.04783821105957031
