bag,flipper,gait,run,load_sample_rate_hz,command_median_rate_hz,command_timestamp_jitter_cv,encoder_median_rate_hz,encoder_timestamp_jitter_cv,status,active_interval_source,active_start_s,active_stop_s,active_duration_s,active_load_samples,fx_mean_n,fx_mean_abs_n,fx_rms_n,fx_std_n,fx_impulse_ns,fx_abs_impulse_ns,fx_dominant_hz,fx_band_power_n2,fx_spectral_entropy,fx_frequency_resolution_hz,fx_frequency_bin_spacing_hz,fx_welch_nperseg,fy_mean_n,fy_mean_abs_n,fy_rms_n,fy_std_n,fy_impulse_ns,fy_abs_impulse_ns,fy_dominant_hz,fy_band_power_n2,fy_spectral_entropy,fy_frequency_resolution_hz,fy_frequency_bin_spacing_hz,fy_welch_nperseg,fz_mean_n,fz_mean_abs_n,fz_rms_n,fz_std_n,fz_impulse_ns,fz_abs_impulse_ns,fz_dominant_hz,fz_band_power_n2,fz_spectral_entropy,fz_frequency_resolution_hz,fz_frequency_bin_spacing_hz,fz_welch_nperseg,net_mean_n,net_mean_abs_n,net_rms_n,net_std_n,net_impulse_ns,net_abs_impulse_ns,net_dominant_hz,net_band_power_n2,net_spectral_entropy,net_frequency_resolution_hz,net_frequency_bin_spacing_hz,net_welch_nperseg,observed_motion_peak_hz,expected_frequency_hz,frequency_reference,parameter_source,parameter_notes,parameter_row_assumption,response_status,dominant_motion_axis,gait_frequency_hz,cycles_analyzed,response_common_rate_hz,fx_power_at_gait_frequency,fx_power_at_second_harmonic,fx_power_at_third_harmonic,motion_fx_coherence,motion_to_fx_phase_deg,motion_to_fx_lag_s,fx_frequency_error_percent,fx_frequency_match_percent,fy_power_at_gait_frequency,fy_power_at_second_harmonic,fy_power_at_third_harmonic,motion_fy_coherence,motion_to_fy_phase_deg,motion_to_fy_lag_s,fy_frequency_error_percent,fy_frequency_match_percent,fz_power_at_gait_frequency,fz_power_at_second_harmonic,fz_power_at_third_harmonic,motion_fz_coherence,motion_to_fz_phase_deg,motion_to_fz_lag_s,fz_frequency_error_percent,fz_frequency_match_percent,net_power_at_gait_frequency,net_power_at_second_harmonic,net_power_at_third_harmonic,motion_net_coherence,motion_to_net_phase_deg,motion_to_net_lag_s,net_frequency_error_percent,net_frequency_match_percent,servo1_tracking_rmse_rad,servo2_tracking_rmse_rad
control_vansh_rollAmpAndFrequency_1_control.bag,control,rollAmpAndFrequency,1,10000.0,173.03234323432343,0.9617824670754808,20.825222809761424,0.16016304878971263,ok,servo_activity,0.2783684253692627,8.36435227394104,8.085983848571779,80860,-0.1256750791076551,0.43648812372489126,0.6749612673632583,0.663157965293263,-1.0162326911555688,3.5294189669484015,0.6866455078125,0.428885453271477,0.691871230866083,0.6103515625,0.0762939453125,16384,0.5225403905932391,1.2991601483481954,1.5776739141608869,1.4886257150883826,4.225049485105512,10.504796846312086,0.6103515625,2.132142209096557,0.5065495638519532,0.6103515625,0.0762939453125,16384,-0.7095865069568397,0.8352042111893401,1.1703050628986955,0.9306454369904312,-5.7374349567605645,6.753179713184563,0.6866455078125,0.6807655459643925,0.5341940888050171,0.6103515625,0.0762939453125,16384,1.7752431588845328,1.7752431588845328,2.077075259134986,1.0783104186384984,14.354262666525653,14.354262666525653,0.457763671875,1.0364109666787125,0.6172073317581541,0.6103515625,0.0762939453125,16384,0.5914191419141914,0.5,parameter_table,pdf,,table row N = filename run N,ok,servo1,0.5,4.042991924285889,173.03234323432343,0.2973618713698512,0.2082251114832023,0.03883484524515028,0.9828841724289329,63.95054864678719,-0.35528082581548437,37.3291015625,62.6708984375,2.4270215727928046,1.1648551458509149,0.09077884364790481,0.9951482835778103,33.51667002129958,-0.18620372234055324,22.0703125,77.9296875,0.568766872178049,0.46020653665389033,0.08982556520948919,0.940258491493996,-133.67108030717895,0.742617112817661,37.3291015625,62.6708984375,0.7388061709904392,0.6065081993851487,0.16277512514034082,0.9256462517600753,5.045394845348836,-0.028029971363049088,8.447265625,91.552734375,0.13335727476161174,0.17610468823003403
control_vansh_rollAmpAndFrequency_2_control.bag,control,rollAmpAndFrequency,2,10000.0,208.588820370002,1.0117971957737761,20.823723621595725,0.17029008173440846,ok,servo_activity,0.2360839366912842,8.585327196121217,8.349243259429933,83493,-0.20944150495069044,0.5704326504533519,0.8600747390502088,0.8341839202215988,-1.7487446019700386,4.762653739478553,0.6866455078125,0.6992994829897906,0.738104655844146,0.6103515625,0.0762939453125,16384,0.4744961237357017,1.416538151897152,1.7337734860010063,1.6675802617325128,3.961485393829239,11.826876899557638,0.6103515625,3.0509492975959875,0.5999906975059606,0.6103515625,0.0762939453125,16384,-0.9774855242764885,1.1429738230422004,1.4600166430166388,1.0845140145316212,-8.161360640830736,9.542919434096442,0.6866455078125,1.4435183657804442,0.5658021429275021,0.6103515625,0.0762939453125,16384,2.09308129092741,2.09308129092741,2.424324164668979,1.223257276686956,17.47550307549841,17.47550307549841,0.9918212890625,1.7342954559349473,0.6378370478027151,0.6103515625,0.0762939453125,16384,0.78125,0.75,parameter_table,pdf,,table row N = filename run N,ok,servo1,0.75,6.26193244457245,200.0,0.3976041482411412,0.09808185485539253,0.02742953394919159,0.9708146665535211,68.04294209013284,-0.25201089663012166,8.447265625,91.552734375,2.302076475855246,0.4210590435767265,0.2497242036977275,0.9882253594949283,37.110168258589255,-0.13744506762440467,18.619791666666668,81.38020833333333,1.114389197360351,0.4308330763263746,0.039660703766506405,0.9412629985693727,-153.4645085281959,0.5683870686229477,8.447265625,91.552734375,0.8994836173836671,0.5633407266219191,0.07261479266229609,0.9370739678866892,-6.239824662730867,0.023110461713818028,32.242838541666664,67.75716145833334,0.22179504849079407,0.21571986146157474
control_vansh_rollAmpAndFrequency_3_control.bag,control,rollAmpAndFrequency,3,10000.0,254.66326654523377,1.0006336264828541,20.820570861255895,0.1534317594989391,ok,servo_activity,0.2075953006744385,8.449269819259644,8.241674518585206,82417,-0.2762570968431957,0.694821867058932,0.9905130903037472,0.9512088090986376,-2.276824358483985,5.726488389459147,0.9918212890625,1.140527869442709,0.7570436304203176,0.6103515625,0.0762939453125,16384,0.6056382974003344,1.6662471892290038,1.9387821535729017,1.8417596183364437,4.991470292968972,13.732613973748643,0.91552734375,4.023540232228269,0.6327752739912648,0.6103515625,0.0762939453125,16384,-1.067647743258445,1.2726805478848924,1.5624253491815192,1.1407459261729327,-8.799071662364666,10.488890528254457,0.9918212890625,1.5649733693880612,0.6386992225344704,0.6103515625,0.0762939453125,16384,2.416297131952215,2.416297131952215,2.6797696529442323,1.1587379181507567,19.91420379201655,19.91420379201655,0.9918212890625,1.558491310182444,0.7810174255144098,0.6103515625,0.0762939453125,16384,0.9765625,1,parameter_table,pdf,,table row N = filename run N,ok,servo1,1,8.241674518585206,200.0,0.5362911299539581,0.041538370978132726,0.06548543457233093,0.9889204341673739,61.83215581252235,-0.17175598836811765,0.81787109375,99.18212890625,2.835351658033304,0.29586339430229824,0.01539898446374979,0.9952474979456283,46.531134778810774,-0.12925315216336328,8.447265625,91.552734375,1.0880654143451498,0.2897807514024019,0.11066040543925845,0.9977638402717299,-161.15629690391435,0.44765638028865096,0.81787109375,99.18212890625,0.5023990400368559,0.21268250530699326,0.22756977613864857,0.9897225544220756,-3.3966279093440805,0.009435077525955779,0.81787109375,99.18212890625,0.3328121798686054,0.24773436196749973
control_vansh_rollAmpAndFrequency_4_control.bag,control,rollAmpAndFrequency,4,10000.0,164.6245388178036,0.929984952101139,20.830600984340933,0.13860948465741077,ok,servo_activity,0.22725791931152345,8.404038953781129,8.176781034469606,81768,-0.3633130825139255,0.7918394770922854,1.0866715279045494,1.024137985640918,-2.970745153492611,6.474657424649476,0.9918212890625,1.3897383910347978,0.7061936518660112,0.6103515625,0.0762939453125,16384,0.5395919472856507,1.9922292187985589,2.2707572612084754,2.2057150926072695,4.411933149001364,16.28985759070811,0.9918212890625,6.2354565994544275,0.6113732882162891,0.6103515625,0.0762939453125,16384,-1.2230418788768331,1.410256285969901,1.7499387030238789,1.251580611408758,-10.00043483144464,11.531198818446494,0.9918212890625,1.6508690580597978,0.6360792052470663,0.6103515625,0.0762939453125,16384,2.797783929071841,2.797783929071841,3.0658569786,1.2537480207193359,22.876631437153016,22.876631437153016,4.9591064453125,1.719930038098033,0.7576764153995822,0.6103515625,0.0762939453125,16384,1.0449799827301987,1,parameter_table,pdf,,table row N = filename run N,ok,servo1,1,8.176781034469606,164.6245388178036,0.6772293786884186,0.045340455397110256,0.16438305736028647,0.9951435701472116,44.68265992240107,-0.12411849978444742,0.81787109375,99.18212890625,4.433577590043261,0.14266412072321644,0.4457714632523226,0.9990458441751715,24.921449082444614,-0.06922624745123504,0.81787109375,99.18212890625,1.150621942782626,0.3562875437038287,0.10586762613334097,0.9928978533319508,-179.24783067613743,0.4979106407670484,0.81787109375,99.18212890625,0.40723692097291037,0.3535132570601044,0.3640859732412513,0.9759524130290389,-12.495094815266835,0.03470859670907454,395.91064453125,0.0,0.4513324637097388,0.2442722838512121
control_vansh_rollAmpAndFrequency_5_control.bag,control,rollAmpAndFrequency,5,10000.0,150.3819870209028,0.9335498979671764,20.824705823941215,0.13161744879782467,ok,servo_activity,0.2,8.385842609405518,8.185842609405519,81859,-0.3374562947917073,0.6281818720237639,0.95236243542029,0.8905714219000731,-2.762393415412506,5.142221310623231,0.762939453125,0.7820572167087922,0.6862120883360258,0.6103515625,0.0762939453125,16384,0.4592611914704531,1.6847036668545847,1.9764513996569815,1.9223525413448963,3.7592763302370074,13.790625889483971,0.762939453125,4.351859331040238,0.5541253866649625,0.6103515625,0.0762939453125,16384,-1.0637872114633,1.1813608538981974,1.5205415233242656,1.0864636638564653,-8.707925724429316,9.670371804037142,0.8392333984375,1.4235126560971147,0.5741172348830196,0.6103515625,0.0762939453125,16384,2.368770169650465,2.368770169650465,2.669344651362762,1.2305806560860173,19.390283644569337,19.390283644569337,1.2969970703125,1.6921304480405024,0.6508041079095414,0.6103515625,0.0762939453125,16384,0.734287046000502,0.75,parameter_table,pdf,,table row N = filename run N,ok,servo1,0.75,6.139381957054139,150.3819870209028,0.5289065500864338,0.06342265743792781,0.024102294183301134,0.9991775117734738,60.27367989104263,-0.22323585144830604,1.7252604166666667,98.27473958333333,4.035482006693872,0.566513785004602,0.05906774331310123,0.9999029910718807,30.64024148176313,-0.11348237585838196,1.7252604166666667,98.27473958333333,1.1191180143191424,0.41511213435297944,0.0958270013101672,0.9925114084750422,-155.4149852938911,0.5756110566440411,11.897786458333334,88.10221354166667,0.7570659059963223,0.8390768539573401,0.10022998685328939,0.9948932344682548,-9.993102323778121,0.03701149008806712,72.93294270833333,27.06705729166667,0.30344141570550004,0.2095964859671618
control_vansh_rollAmpAndFrequency_6_control.bag,control,rollAmpAndFrequency,6,10000.0,170.361657189277,0.9613511852134331,20.82480921905178,0.16293025379267578,ok,servo_activity,0.2359475612640381,8.35422043800354,8.118272876739503,81183,-0.2351364121464257,0.49973428873119413,0.7689321324684639,0.7320980071174935,-1.9089614005953703,4.056939410339411,0.6103515625,0.41957143160476684,0.6098370423697789,0.6103515625,0.0762939453125,16384,0.3876148194120677,1.561973976048688,1.8360828975793007,1.7947019692849704,3.1467493397484523,12.680529847349627,0.5340576171875,3.7110449770021754,0.4825628124725524,0.6103515625,0.0762939453125,16384,-0.8099518914786574,0.9054962121203005,1.2405404443918695,0.9396374447956628,-6.575306186492322,7.35094824516873,0.762939453125,0.7785375771168547,0.5469175827146143,0.6103515625,0.0762939453125,16384,2.057301441973261,2.057301441973261,2.3455058356989174,1.1264583446148457,16.701617416950363,16.701617416950363,0.762939453125,1.5874815393769433,0.548307424532416,0.6103515625,0.0762939453125,16384,0.5822908204711617,0.5,parameter_table,pdf,,table row N = filename run N,ok,servo1,0.5,4.059136438369752,170.361657189277,0.40220209488167746,0.21209498264222187,0.03152653098554994,0.9891454529252925,64.55604933314186,-0.3586447185174548,22.0703125,77.9296875,4.2293270079740966,2.132829073763344,0.19319954762174163,0.9974560864992466,33.41414821896035,-0.18563415677200193,6.8115234375,93.1884765625,0.5873610503572435,0.6072910165907139,0.16601031591372625,0.9327336239277232,-132.72913929635652,0.7373841072019807,52.587890625,47.412109375,1.2498155212859736,1.2161636374494533,0.3269034130275051,0.8566525988709607,1.2725866965832895,-0.007069926092129386,52.587890625,47.412109375,0.16368544652512546,0.17491213338312625
control_vansh_rollAmpAndFrequency_7_control.bag,control,rollAmpAndFrequency,7,10000.0,120.58835029613019,1.0128347919772611,20.82015745529997,0.17019459127837802,ok,servo_activity,3.095739793777466,8.247494983673096,5.15175518989563,51517,-0.31423708583058513,0.5534964632924578,0.8306824475304724,0.7689527830263166,-1.6187815629851214,2.851282876433495,0.5340576171875,0.47752787629509313,0.603451295682576,0.6103515625,0.0762939453125,16384,0.28351587631985165,1.7889430355436933,2.159535594679224,2.1408439299867554,1.4605876898090988,9.21596610557647,0.457763671875,4.527872109311366,0.4612974323254464,0.6103515625,0.0762939453125,16384,-1.0416789922831695,1.2195996194225172,1.7251210128716032,1.3751172263072942,-5.366243037069765,6.282836731903542,0.762939453125,1.3612129273538995,0.5333300067570014,0.6103515625,0.0762939453125,16384,2.4940335790700545,2.4940335790700545,2.886116737481856,1.4524001958289339,12.848200228860145,12.848200228860145,0.6103515625,2.1884066357805483,0.53388312615709,0.6103515625,0.0762939453125,16384,0.47104824334425854,0.5,parameter_table,pdf,,table row N = filename run N,ok,servo1,0.5,2.575877594947815,120.58835029613019,0.46458016226535087,0.19505691744401374,0.04411006456701912,0.9664993296724597,76.95733389415881,-0.42754074385643787,6.8115234375,93.1884765625,5.85757656136166,1.848412632447093,0.1669237114414376,0.9932017884121765,29.462453499546676,-0.16368029721970376,8.447265625,91.552734375,1.085687136117694,1.029938785270096,0.2405115237489186,0.8653200835700319,-130.1787449847775,0.7232152499154306,52.587890625,47.412109375,1.8484604786015986,1.430513490053103,0.3672055185873042,0.8008701080190903,4.635940268331753,-0.025755223712954183,22.0703125,77.9296875,0.22247047642037546,0.17266217828730873
control_vansh_rollAmpAndFrequency_8_control.bag,control,rollAmpAndFrequency,8,10000.0,246.79635186819652,1.519969186058314,20.827497852350994,0.15896571119458666,ok,servo_activity,0.20269675254821778,8.28067331314087,8.077976560592653,51222,-0.2754406805999329,0.6276984174459175,0.889667537317069,0.8459555298161153,-1.410871643053133,3.215187444957322,0.6866455078125,0.7712019348691884,0.6950789391023402,0.6103515625,0.0762939453125,16384,0.4918220318362721,1.932182452966363,2.288278504674807,2.2347996787088573,2.5189527274845167,9.896766876597068,0.762939453125,5.856353004057128,0.5656928671907917,0.6103515625,0.0762939453125,16384,-1.2985624203457116,1.4521088160672107,1.8551318235056993,1.324858378487855,-6.65140895728398,7.437891667270176,0.6866455078125,1.8319903509184408,0.6033875431448381,0.6103515625,0.0762939453125,16384,2.730596114931676,2.730596114931676,3.077213175016669,1.4188325417808143,13.986375539401912,13.986375539401912,1.1444091796875,2.3303195309577003,0.6556021687481587,0.6103515625,0.0762939453125,16384,0.78125,0.75,parameter_table,pdf,,table row N = filename run N,ok,servo1,0.75,6.05848242044449,200.0,0.43969962059360146,0.08887654132161005,0.03396720315935817,0.7195331592247609,59.068527679046205,-0.21877232473720817,8.447265625,91.552734375,5.181138491244912,0.45853507642885266,0.34028071891347433,0.7335601116120513,24.16176783767665,-0.08948802902843203,1.7252604166666667,98.27473958333333,1.5496849347737147,0.4378568078270779,0.18082654337914308,0.5327444015818753,-151.14123582791692,0.5597823549182108,8.447265625,91.552734375,0.7014675808183898,0.8331094540783709,0.3758142357090022,0.4416388355037277,6.1665362427009605,-0.022839023121114667,52.587890625,47.412109375,0.4591354690261871,0.21508595952581555
control_vansh_rollAmpAndFrequency_9_control.bag,control,rollAmpAndFrequency,9,10000.0,210.44122221664745,1.0067154503228861,20.834895174890654,0.15286194177622445,ok,servo_activity,0.3506354808807373,8.557861137390137,8.2072256565094,82072,-0.3297664216087835,0.7727907205756482,1.0629797470644653,1.0105345366926222,-2.7064888217281653,6.342406788827057,0.91552734375,1.2913438173147307,0.7052799284522904,0.6103515625,0.0762939453125,16384,0.5546116693366957,2.2220461549254313,2.5275821908613794,2.4659841093963224,4.551513883867122,18.236482193990994,0.9918212890625,7.996885546106546,0.6225149708362675,0.6103515625,0.0762939453125,16384,-1.2684005582275533,1.4270628554869287,1.786927278757584,1.258677529574599,-10.409830564601547,11.712003770668693,0.9918212890625,1.7666494092020872,0.6451742861189034,0.6103515625,0.0762939453125,16384,2.9885726216944426,2.9885726216944426,3.272874390164833,1.334219044480792,24.527450939534326,24.527450939534326,2.13623046875,2.1708966682571917,0.7354855235769413,0.6103515625,0.0762939453125,16384,0.9765625,1,parameter_table,pdf,,table row N = filename run N,ok,servo1,1,8.2072256565094,200.0,0.5337208893058351,0.05295377567354946,0.3087036207543081,0.9841793851882692,54.50918254557075,-0.15141439595991876,8.447265625,91.552734375,5.345874478254887,0.08436110468754549,1.6673476099276676,0.9902583437761823,32.90556877011455,-0.09140435769476264,0.81787109375,99.18212890625,1.2210678037944331,0.41030165632774074,0.05667552825599701,0.9982455555457161,-172.89868502182264,0.48027412506061845,0.81787109375,99.18212890625,0.4030478801212121,0.8144405587231892,0.46599599927769625,0.9860721743044095,10.64999371363638,-0.02958331587121217,113.623046875,0.0,0.5917622817120487,0.24561095458908117
control_vansh_rollAmpAndFrequency_10_control.bag,control,rollAmpAndFrequency,10,10000.0,170.45166009672045,0.9521218547551871,20.824860916992083,0.11068138120461729,ok,servo_activity,0.35273237228393556,8.66487889289856,8.312146520614625,83121,-0.280222872967786,0.6139438437183593,0.8654034085393901,0.8187784810174695,-2.329284274757029,5.103088283091974,0.3814697265625,0.6563447820937207,0.5860495699376675,0.6103515625,0.0762939453125,16384,0.4751755975165311,2.1003956580309664,2.527412046612896,2.4823415971394422,3.949746283901556,17.458566357323683,0.30517578125,7.032269906865422,0.47227068394828703,0.6103515625,0.0762939453125,16384,-1.1753092604824305,1.3600283056579374,1.8663662254090982,1.4498175849299275,-9.769030332468638,11.30443350787197,0.2288818359375,1.1615140838063551,0.5777170748241773,0.6103515625,0.0762939453125,16384,2.89340786784993,2.89340786784993,3.2588429848986875,1.4994160564991665,24.04999082755686,24.04999082755686,0.9918212890625,1.7528136741655302,0.6029318082409476,0.6103515625,0.0762939453125,16384,0.5825984475962125,0.5,parameter_table,pdf,,table row N = filename run N,ok,servo1,0.5,4.156073260307313,170.45166009672045,0.5713022822807601,0.28703651522320417,0.016103115601359037,0.9827119907867702,76.28584031094513,-0.4238102239496952,23.7060546875,76.2939453125,7.709444867835442,3.152447374711791,0.49822315232789605,0.9983879209743214,28.06027998364265,-0.15589044435357027,38.96484375,61.03515625,0.853282256875272,0.3122724439458169,0.42848544981545705,0.9302161310003606,-126.61702654422932,0.7034279252457185,54.2236328125,45.7763671875,0.5946107126753647,1.4879969005533167,0.45076464173138575,0.9230981822816468,9.670649259789656,-0.053725829221053636,98.3642578125,1.6357421875,0.304472540578099,0.1714462302405619
